Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
3/14/2026 12:00:46 PM,System.Runtime,CPU Usage (%),Metric,0
3/14/2026 12:00:47 PM,System.Runtime,CPU Usage (%),Metric,0
3/14/2026 12:00:46 PM,System.Runtime,Working Set (MB),Metric,438
3/14/2026 12:00:46 PM,System.Runtime,GC Heap Size (MB),Metric,9
3/14/2026 12:00:46 PM,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
3/14/2026 12:00:46 PM,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
3/14/2026 12:00:46 PM,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
3/14/2026 12:00:46 PM,System.Runtime,ThreadPool Thread Count,Metric,29
3/14/2026 12:00:46 PM,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
3/14/2026 12:00:46 PM,System.Runtime,ThreadPool Queue Length,Metric,0
3/14/2026 12:00:46 PM,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
3/14/2026 12:00:46 PM,System.Runtime,Allocation Rate (B / 1 sec),Rate,106360
3/14/2026 12:00:46 PM,System.Runtime,Number of Active Timers,Metric,3
3/14/2026 12:00:46 PM,System.Runtime,GC Fragmentation (%),Metric,50.68440558050269
3/14/2026 12:00:46 PM,System.Runtime,GC Committed Bytes (MB),Metric,349
3/14/2026 12:00:46 PM,System.Runtime,Exception Count (Count / 1 sec),Rate,0
3/14/2026 12:00:46 PM,System.Runtime,% Time in GC since last GC (%),Metric,34
3/14/2026 12:00:46 PM,System.Runtime,Gen 0 Size (B),Metric,10312416
3/14/2026 12:00:46 PM,System.Runtime,Gen 1 Size (B),Metric,384
3/14/2026 12:00:46 PM,System.Runtime,Gen 2 Size (B),Metric,7929264
3/14/2026 12:00:46 PM,System.Runtime,LOH Size (B),Metric,390464
3/14/2026 12:00:46 PM,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,642008
3/14/2026 12:00:46 PM,System.Runtime,Number of Assemblies Loaded,Metric,159
3/14/2026 12:00:46 PM,System.Runtime,IL Bytes Jitted (B),Metric,1146662
