Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
03/07/2026 10:14:34,System.Runtime,CPU Usage (%),Metric,1
03/07/2026 10:14:33,System.Runtime,CPU Usage (%),Metric,0
03/07/2026 10:14:33,System.Runtime,Working Set (MB),Metric,194
03/07/2026 10:14:33,System.Runtime,GC Heap Size (MB),Metric,9
03/07/2026 10:14:33,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
03/07/2026 10:14:33,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
03/07/2026 10:14:33,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
03/07/2026 10:14:33,System.Runtime,ThreadPool Thread Count,Metric,34
03/07/2026 10:14:33,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
03/07/2026 10:14:33,System.Runtime,ThreadPool Queue Length,Metric,0
03/07/2026 10:14:33,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
03/07/2026 10:14:33,System.Runtime,Allocation Rate (B / 1 sec),Rate,114008
03/07/2026 10:14:33,System.Runtime,Number of Active Timers,Metric,3
03/07/2026 10:14:33,System.Runtime,GC Fragmentation (%),Metric,37.00257482444134
03/07/2026 10:14:33,System.Runtime,GC Committed Bytes (MB),Metric,109
03/07/2026 10:14:33,System.Runtime,Exception Count (Count / 1 sec),Rate,0
03/07/2026 10:14:33,System.Runtime,% Time in GC since last GC (%),Metric,92
03/07/2026 10:14:33,System.Runtime,Gen 0 Size (B),Metric,5763600
03/07/2026 10:14:33,System.Runtime,Gen 1 Size (B),Metric,192
03/07/2026 10:14:33,System.Runtime,Gen 2 Size (B),Metric,8060848
03/07/2026 10:14:33,System.Runtime,LOH Size (B),Metric,390272
03/07/2026 10:14:33,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,642800
03/07/2026 10:14:33,System.Runtime,Number of Assemblies Loaded,Metric,159
03/07/2026 10:14:33,System.Runtime,IL Bytes Jitted (B),Metric,1089741
03/07/2026 10:14:33,System.Runtime,Number of Methods Jitted,Metric,14723
03/07/2026 10:14:33,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
03/07/2026 10:14:33,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,0
03/07/2026 10:14:33,Microsoft.AspNetCore.Hosting,Total Requests,Metric,0
03/07/2026 10:14:33,Microsoft.AspNetCore.Hosting,Current Requests,Metric,0
03/07/2026 10:14:33,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
03/07/2026 10:14:34,System.Runtime,Working Set (MB),Metric,194
03/07/2026 10:14:34,System.Runtime,GC Heap Size (MB),Metric,24
03/07/2026 10:14:34,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
03/07/2026 10:14:34,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
03/07/2026 10:14:34,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
03/07/2026 10:14:34,System.Runtime,ThreadPool Thread Count,Metric,34
03/07/2026 10:14:34,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,7
03/07/2026 10:14:34,System.Runtime,ThreadPool Queue Length,Metric,0
03/07/2026 10:14:34,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,709
03/07/2026 10:14:34,System.Runtime,Allocation Rate (B / 1 sec),Rate,15195528
03/07/2026 10:14:34,System.Runtime,Number of Active Timers,Metric,6
03/07/2026 10:14:34,System.Runtime,GC Fragmentation (%),Metric,37.00257482444134
03/07/2026 10:14:34,System.Runtime,GC Committed Bytes (MB),Metric,109
03/07/2026 10:14:34,System.Runtime,Exception Count (Count / 1 sec),Rate,0
03/07/2026 10:14:34,System.Runtime,% Time in GC since last GC (%),Metric,92
03/07/2026 10:14:34,System.Runtime,Gen 0 Size (B),Metric,5763600
03/07/2026 10:14:34,System.Runtime,Gen 1 Size (B),Metric,192
03/07/2026 10:14:34,System.Runtime,Gen 2 Size (B),Metric,8060848
03/07/2026 10:14:34,System.Runtime,LOH Size (B),Metric,390272
03/07/2026 10:14:34,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,642800
03/07/2026 10:14:34,System.Runtime,Number of Assemblies Loaded,Metric,159
03/07/2026 10:14:34,System.Runtime,IL Bytes Jitted (B),Metric,1090627
03/07/2026 10:14:34,System.Runtime,Number of Methods Jitted,Metric,14730
03/07/2026 10:14:34,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,5.488299999999981
03/07/2026 10:14:34,Microsoft.AspNetCore.Hosting,Request Rate (Count / 1 sec),Rate,50
03/07/2026 10:14:34,Microsoft.AspNetCore.Hosting,Total Requests,Metric,50
03/07/2026 10:14:34,Microsoft.AspNetCore.Hosting,Current Requests,Metric,49
03/07/2026 10:14:34,Microsoft.AspNetCore.Hosting,Failed Requests,Metric,0
03/07/2026 10:14:35,System.Runtime,CPU Usage (%),Metric,9
03/07/2026 10:14:35,System.Runtime,Working Set (MB),Metric,189
03/07/2026 10:14:35,System.Runtime,GC Heap Size (MB),Metric,19
03/07/2026 10:14:35,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,2
03/07/2026 10:14:35,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,1
